# Resolved dependency scope for runtime commit 2b66dd9 crates/rish-guest-agent.
# Columns: role<TAB>crate/source<TAB>version<TAB>Cargo.lock checksum<TAB>license metadata<TAB>source URL<TAB>copied license text(s)
runtime	linux-raw-sys	0.12.1	32a66949e030da00e8c7d4434b251670a91556f4144941d37452769c25d58a53	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	https://crates.io/crates/linux-raw-sys/0.12.1	rust-a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2-LICENSE-APACHE.txt; rust-268872b9816f90fd8e85db5a28d33f8150ebb8dd016653fb39ef1f94f2686bc5-LICENSE-Apache-2.0_WITH_LLVM-exception.txt; rust-23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3-LICENSE-MIT.txt
workspace-runtime	rish-guest-protocol	0.1.0	-	MIT	https://github.com/ZSeven-W/rish/tree/2b66dd921a74cc899937a5564f1de400d2a76c90/crates/rish-guest-protocol	rish source MIT text in rish-MIT.txt
build-proc-macro	serde_derive	1.0.229	e7a5d71263a5a7d47b41f6b3f06ba276f10cc18b0931f1799f710578e2309348	MIT OR Apache-2.0	https://crates.io/crates/serde_derive/1.0.229	rust-62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a-LICENSE-APACHE.txt; rust-23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3-LICENSE-MIT.txt
build-proc-macro	thiserror	2.0.19	09a43598840e33d5b0331f38c5e30d13bb11c11210a4b58f0d9b18a5a5eefcd9	MIT OR Apache-2.0	https://crates.io/crates/thiserror/2.0.19	rust-62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a-LICENSE-APACHE.txt; rust-23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3-LICENSE-MIT.txt
build-proc-macro	thiserror-impl	2.0.19	43cbfe0cf76104d42a574802844187e84a305e531ed54455f11fbde0f10541cd	MIT OR Apache-2.0	https://crates.io/crates/thiserror-impl/2.0.19	rust-62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a-LICENSE-APACHE.txt; rust-23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3-LICENSE-MIT.txt
build-proc-macro	proc-macro2	1.0.107	985e7ec9bb745e6ce6535b544d84d6cd6f7ad8bd711c398938ae983b91a766d9	MIT OR Apache-2.0	https://crates.io/crates/proc-macro2/1.0.107	rust-62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a-LICENSE-APACHE.txt; rust-23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3-LICENSE-MIT.txt
build-proc-macro	quote	1.0.47	1fbf4db142a473a8d80c26bbf18454ed458bf8d26c8219c331daecfdbd079001	MIT OR Apache-2.0	https://crates.io/crates/quote/1.0.47	rust-62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a-LICENSE-APACHE.txt; rust-23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3-LICENSE-MIT.txt
build-proc-macro	syn	3.0.3	53e9bae58849f64dfa4f5d5ae372c8341f7305f82a3868709269343628b659a3	MIT OR Apache-2.0	https://crates.io/crates/syn/3.0.3	rust-62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a-LICENSE-APACHE.txt; rust-23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3-LICENSE-MIT.txt
build-proc-macro	unicode-ident	1.0.24	e6e4313cd5fcd3dad5cafa179702e2b244f760991f45397d14d4ebf38247da75	(MIT OR Apache-2.0) AND Unicode-3.0	https://crates.io/crates/unicode-ident/1.0.24	rust-62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a-LICENSE-APACHE.txt; rust-23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3-LICENSE-MIT.txt; rust-f7db81051789b729fea528a63ec4c938fdcb93d9d61d97dc8cc2e9df6d47f2a1-LICENSE-UNICODE.txt
toolchain-runtime	Rust std/core/alloc	1.97.1	-	Apache-2.0 OR MIT	https://github.com/rust-lang/rust/tree/1.97.1/library	rust-std-COPYRIGHT-library-1.97.1.html; rust-std-LICENSE-APACHE-1.97.1.txt; rust-std-LICENSE-MIT-1.97.1.txt
